"specie" "km" "X" "Y"
"Cinsidiosus" 48.7 342966.418 7718282.642
"Cinsidiosus" 48.7 342966.418 7718282.642
"Cinsidiosus" 50 341649.89 7717732.333
"Cinsidiosus" 50.2 341649.89 7717732.333
"Cinsidiosus" 50.2 341649.89 7717732.333
"Cinsidiosus" 50.5 341265.216 7717676.471
"Cinsidiosus" 50.5 341265.216 7717676.471
"Cinsidiosus" 50.8 340796.101 7717325.834
"Cinsidiosus" 51 340796.101 7717325.834
"Cinsidiosus" 51 340796.101 7717325.834
"Cinsidiosus" 51 340796.101 7717325.834
"Cinsidiosus" 52.2 340061.989 7716859.844
"Cinsidiosus" 54 338524.07 7715686.568
"Cinsidiosus" 54 338524.07 7715686.568
"Cinsidiosus" 54 338524.07 7715686.568
"Cinsidiosus" 54.3 338047.546 7715478.904
"Cinsidiosus" 55 337643.861 7715254.701
"Cinsidiosus" 55 337643.861 7715254.701
"Cinsidiosus" 55 337643.861 7715254.701
"Cinsidiosus" 55.2 337643.861 7715254.701
"Cinsidiosus" 55.2 337643.861 7715254.701
"Cinsidiosus" 55.3 337568.996 7714784.807
"Cinsidiosus" 55.8 337431.418 7714326.782
"Cinsidiosus" 55.9 337431.418 7714326.782
"Cinsidiosus" 56 337431.418 7714326.782
"Cinsidiosus" 57.5 336872.742 7713080.161
"Cinsidiosus" 59 337077.546 7711722.711
"Cinsidiosus" 59 337077.546 7711722.711
"Cinsidiosus" 59 337077.546 7711722.711
"Cinsidiosus" 59.3 337259.706 7711262.417
"Cinsidiosus" 59.3 337259.706 7711262.417
"Cinsidiosus" 59.3 337259.706 7711262.417
"Cinsidiosus" 59.5 337259.706 7711262.417
"Cinsidiosus" 59.6 337259.706 7711262.417
"Cinsidiosus" 59.7 337259.706 7711262.417
"Cinsidiosus" 59.7 337259.706 7711262.417
"Cinsidiosus" 59.8 337258.199 7710838.955
"Cinsidiosus" 59.8 337258.199 7710838.955
"Cinsidiosus" 59.9 337258.199 7710838.955
